w4_id1	w4_id2	w4_id3	w4_id4	w4_ind1	w4_team	w4_posit	w401_01	w401_02	w402_01	w402_02	w403_01	w403_02	w404	w405_01	w405_02	w406_01	w406_02	w406_03	w406_04	w406_05	w406_06	w406_07	w406_08	w407	w408_01	w408_02	w408_03	w408_04	w408_05	w408_06	w408_07	w408_08	w408_09	w408_10	w408_11	w408_12	w408_13	w408_14	w408_15	w409_01	w409_02	w409_03	w409_04	w409_05	w409_06	w409_07	w409_08	w410_01	w410_02	w411_01	w411_02	w411_03	w411_04	w411_05	w411_06	w411_07	w411_08	w411_09	w411_10	w411_11	w411_12	w411_13	w411_14	w412	w413_01	w413_02	w413_03	w413_04	w413_05	w413_06	w414_01	w414_02	w414_03	w414_04	w414_05	w414_06	w414_07	w414_08	w414_09	w414_10	w414_11	w414_12	w414_13	w414_14	w414_15	w414_16	w414_17	w414_18	w414_19	w414_20	w414_21	w414_22	w414_23	w414_24	w415_01	w415_02	w415_03	w415_04	w415_05	w415_06	w415_07	w415_08	w416	w417	w418_01	w418_02	w419	w420_01	w420_02	w420_03	w420_04	w420_05	w420_06	w420_07	w421	w422	w423	w424_01	w424_02	w424_03	w424_04	w424_05	w424_06	w425_01	w425_02	w425_03	w425_04	w425_05	w425_06	w425_07	w425_08	w426_01	w426_02	w426_03	w427_01	w427_02	w427_03	w427_04	w427_05	w427_06	w428_01	w428_02	w428_03	w428_04	w428_05	w428_06	w428_07	w428_08	w428_09	w428_10	w428_11	w428_12	w429_01	w429_02	w429_03	w429_04	w430_01	w430_02	w430_03	w430_04	w430_05	w430_06	w430_07	w431_01	w431_02	w431_03	w431_04	w432_01	w432_02	w432_03	w432_04	w432_05	w432_06	w433	w434	w435	w436_01	w436_02	w437_01	w437_02	w4_sex	w4_birthy	w4_birthm	w4_marr	w4_edu	w4_affil
1240	0	201	1	1	1	3	2011	2	2011	2	1	1	204	2011	2	2	2	2	2	2	2	2	2																									1	1	2		2		2		1	3	2		2		2		1	4	4	3	4	3	4	3	4	2		2		2		1	3	2		2		1	2	2		2		2		2		2		2		2		2		1				1	1	3110	30	2007	1	3	2	2	2	1															3	3	3	3	4	4	4	4	4	4	3	3	3	3	3	4	2	3	4	4	4	4	3	4	3	4	4	1	4	3	3	4											1	2	2	40	15.0		180	2	84	9	1	6	4
1240	0	201	2	1	1	3	2008	5	2011	3	1	3	204	2008	5	3	3	3	3	3	3	3	3																									1	4	2		2		2		1	3	2		2		2		12	4	3	3	3	3	3	2	4	2		2		2		1	3	2		2		1	3	2		2		2		2		2		2		2		2		1				2								3	3	2															3	3	3	2	2	2	3	3	3	5	3	3	3	2	3	2	3	3	4	3	3	3	3	3	3	3	3	3	3	3	5	4											1	2	2	40	14.0		140	2	83	7	1	5	2
1240	0	201	3	1	1	3	2011	1	2011	1	1	1	203	2011	1	3	5	3	3	3	3	3	3																									3	2	2		2		2		1	3	2		2		2		1	3	3	2	4	3	3	3	3	2		2		2		2		2		2		1	2	2		2		2		2		2		2		2		2		1				1	2	4060	40	2008	3	3	2	2	2	4															2	4	3	2	2	2	3	3	2	4	3	4	2	3	3	3	4	4	4	4	3	4	3	3	3	4	4	2	3	4	4	4											1	2	2	40	15.0		190	2	82	8	1	6	2
1240	0	321	0	1	1	1	2006	1	2011	3	5	7	301	2006	12	3	3	4	4	4	3	4	4	4	4	3	4	4	3	3	3	3	4	3	4	4	3	5	4	4	3	3	4	3				4	1	2		2		2		1	4	2		2		2		1	4	4	3	4	3	4	2	3	2		2		2		1	3	1	3	2		1	4	2		2		1	3	1	4	2		2		2		2		3				2								4	3	3	5	5	4	4	4	4									4	4	4	4	3	3	3	3	3	4	4	3	3	3	3	3	3	4	4	4	4	4	3	3	3	2	4	3	4	3	3	4											1		2	40	12.0	4800		1	67	1	2	6	3
1240	0	321	1	1	1	3	2010	7	2010	7	1	1	306	2010	7	4	4	4	4	4	4	4	4																									3	1	2		2		2		1	3	2		2		2		4	4	4	3	4	4	4	4	4	2		2		2		1	3	2		2		1	3	2		2		2		2		2		2		2		2		4				2								2	2	2															4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	3	4	3	3	3											1	2	2	40	10.0		147	2	85	5	1	5	2
1240	0	351	0	1	1	1	2006	2	2011	3	1	4	308	2006	11	4	4	4	4	3	2	3	3	3	3	3	2	3	3	3	3	3	3	3	4	4	3	4	3	3	4	4	3	2				4	6	2		1	3	2		2		2		2		2		3	4	4	4	4	3	4	3	3	2		2		2		1	2	1	3	2		1	3	2		2		1	2	1	1	2		2		1	2	2		3				2								2	2	2	4	4	3	4	3	3									3	3	3	2	3	2	2	2	2	3	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	4	3	1	3	2	4	3											1		2	40	18.0	2930		1	80	9	2	6	1
1240	0	351	1	1	1	3	2007	2	2011	3	1	3	308	2007	2	4	4	3	3	3	3	3	4																									3	1	2		1	3	2		2		2		2		2		2	4	3	3	4	4	4	4	3	2		2		2		2		2		2		1	4	2		2		2		2		2		2		2		2		3				2								5	2	2															3	4	3	2	2	3	3	3	3	4	4	3	3	3	3	3	4	3	2	3	4	4	3	4	3	3	4	3	4	3	2	3											1	2	2	40	25.0		135	2	83	11	1	5	4
1240	0	351	2	1	1	3	2008	6	2011	3	1	3	308	2010	5	1	1	1	1	1	1	3	1																									2	2	2		1	3	2		1	3	2		2		2		12	3	4	3	2	2	3	1	3	2		2		2		2		2		2		1	1	2		2		2		2		2		2		2		2		3				2								3	2	2															2	2	3	3	3	2	2	2	3	2	2	2	2	2	2	2	4	3	4	2	3	4	3	4	3	3	3	3	3	3	2	3											1	2	2	40	10.0	2580		1	79	2	1	5	3
1240	0	352	0	1	1	1	2008	1	2010	3	3	4	308	2008	1	3	3	4	3	3	2	4	3	3	3	3	3	3	3	4	3	3	3	3	4	4	2	5	3	3	2	3	3	3				3	5	2		1	3	2		1	1	2		2		2		2	2	3	3	3	4	4	4	4	2		2		2		1	2	2		2		1	3	2		2		2		1	3	2		2		2		2		3				2								2	2	1	5	4	4	4	3	4									4	4	4	3	4	3	3	4	4	4	4	3	4	3	3	4	4	3	4	3	4	4	3	4	3	2	3	2	3	2	3	4											1		2	40	18.0	3000		1	77	4	2	6	3
1240	0	401	0	1	2	1	2009	12	2009	12	4	4	402	2009	12	2	3	3	2	2	1	2	3	1	4	4	4	5	2	1	4	4	4	3	1	4	3	3	2	3	2	4	3	2				3	1	2		2		2		1	1	2		2		2		1	3	3	1	2	2	3	3	3	2		2		2		2		1	2	2		1	2	2		2		2		1	1	2		2		2		2		2				2								4	3	1	5	5	4	5	5	5									1	1	2	1	3	1	2	1	4	4	2	2	3	3	3	2	4	3	2	3	2	3	2	4	3	2	2	3	3	4	5	3	5	10	30	55	4	2	4	2	4	2	1		2	40	30.0	3300		1	76	8	2	6	3
